GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xmart,com.app.xmart.controllers,TransactionControllers,8,0,0,0,2,0,2,0,2,0
xmart,com.app.xmart.controllers,ProductControllers,25,0,0,0,5,0,4,0,4,0
xmart,com.app.xmart.controllers,CustomerControllers,20,0,0,0,4,0,4,0,4,0
xmart,com.app.xmart.services,CustomersService,0,71,0,2,0,16,0,7,0,6
xmart,com.app.xmart.services,TransactionService,0,7,0,0,0,2,0,2,0,2
xmart,com.app.xmart.services,ProductsService,0,66,0,0,0,17,0,5,0,5
xmart,com.app.xmart,XmartApplication,8,0,0,0,3,0,2,0,2,0
xmart,com.app.xmart.configurations,WebMVCConfig,49,0,0,0,10,0,3,0,3,0
xmart,com.app.xmart.dto,UserLoginRequest,109,15,22,0,2,3,18,3,7,3
xmart,com.app.xmart.dto,AddProductResponse,143,24,30,0,1,5,20,7,5,7
xmart,com.app.xmart.dto,UserLoginResponse,143,24,30,0,1,5,20,7,5,7
xmart,com.app.xmart.dto,AddProductRequest,143,24,30,0,1,5,20,7,5,7
xmart,com.app.xmart.model,Transactions,264,32,53,1,7,2,37,8,10,8
xmart,com.app.xmart.model,Products,138,29,29,1,1,5,19,8,4,8
xmart,com.app.xmart.model,Customers,138,29,29,1,1,5,19,8,4,8
